# pinyin	word	lcid	rcid	mid	value
dao	𪺣	1288	1288	501	-6.5
dao	𫝵	1288	1288	501	-6.5
dao	𭎜	1288	1288	501	-6.5
dao	𮜶	1288	1288	501	-6.5
dao	𰭣	1288	1288	501	-6.5
dao	𱽕	1288	1288	501	-6.5
daoan	道安	1291	1291	10	-13.94320011138916
daoan	道岸	1289	1289	501	-17.04050064086914
daoannei	道案内	1283	1283	411	-12.31779956817627
daoao	刀奥	1285	1285	501	-18.380599975585938
daoba	道八	1291	1291	501	-14.243300437927246
daoba	道巴	1289	1289	501	-17.04050064086914
daobaihe	島百合	1285	1285	501	-18.380599975585938
daoban	刀瘢	1285	1285	501	-18.28529930114746
daoban	島坂	1293	1293	501	-15.782299995422363
daoban	稲坂	1290	1290	501	-15.918600082397461
daoban	道板	1285	1285	501	-18.380599975585938
daobang	道傍	1285	1285	501	-18.380599975585938
daobao	導報	1285	1285	501	-18.28529930114746
daobao	導爆	1285	1285	501	-18.28529930114746
daobei	島北	1290	1290	432	-12.145400047302246
daobei	島唄	1285	1285	67	-18.380599975585938
daobei	蹈鞴	1285	1285	501	-18.486000061035156
daobei	道北	1293	1293	397	-16.41830062866211
daoben	島本	1293	1293	370	-14.040800094604492
daoben	嶋本	1290	1290	439	-13.44379997253418
daoben	稲本	1290	1290	439	-12.473099708557129
daoben	道本	1290	1290	76	-16.83489990234375
daobenhaoye	島本浩也	1289	1289	122	-18.381999969482422
daobenheyan	島本和彦	1289	1289	96	-12.427399635314941
daobenrunyi	稲本潤一	1289	1289	122	-18.933000564575195
daobenting	島本町	1293	1293	309	-12.662300109863281
daobenxumei	島本須美	1289	1289	122	-13.265000343322754
daobi	刀筆	1285	1285	501	-18.28529930114746
daobian	稲辺	1290	1290	501	-16.83489990234375
daobian	道辺	1285	1285	501	-18.380599975585938
daobianlian	道弁連	1288	1288	501	-18.019500732421875
daobiao	道標	1285	1285	404	-12.696700096130371
daobie	道別	1291	1291	501	-17.239099502563477
daobing	稲氷	1289	1289	501	-17.04050064086914
daobing	稲餅	1290	1290	501	-16.572500228881836
daobo	導波	1283	1283	501	-17.569299697875977
daobo	道博	1291	1291	501	-14.887700080871582
daoboguan	導波管	1288	1288	384	-14.201700210571289
daobu	島部	1285	1285	104	-18.28529930114746
daobu	搗布	1285	1285	501	-17.35099983215332
daobu	稲部	1290	1290	501	-15.245699882507324
daocai	盗採	1285	1285	501	-18.28529930114746
daocan	盗喰	1283	1283	501	-17.64929962158203
daocang	島倉	1290	1290	409	-12.263299942016602
daocang	嶋倉	1290	1290	501	-15.376299858093262
daocang	稲倉	1285	1285	3	-18.380599975585938
daocangqiandaizi	島倉千代子	1289	1289	223	-12.447400093078613
daocao	道草	1285	1285	420	-13.665200233459473
daochan	倒産	1283	1283	378	-9.975199699401855
daochan	道産	1285	1285	442	-14.612500190734863
daochang	稲場	1290	1290	200	-13.824299812316895
daochang	道場	1293	1293	251	-15.357399940490723
daochang	道昌	1289	1289	76	-14.737899780273438
daochangliusanlang	道場六三郎	1289	1289	122	-21.128999710083008
daochangsuting	道場宿町	1293	1293	501	-16.823699951171875
daochangxigu	蹈常襲故	1285	1285	228	-15.672599792480469
daochanzi	道産子	1285	1285	113	-13.860400199890137
daochen	道臣	1291	1291	497	-12.88659954071045
daocheng	稲城	1293	1293	81	-12.147000312805176
daocheng	道成	1291	1291	246	-11.950799942016602
daocheng	道澄	1289	1289	501	-14.184100151062012
daocheng	道程	1285	1285	220	-14.728599548339844
daochengshi	稲城市	1293	1293	18	-12.032099723815918
daochengsi	道成寺	1288	1288	297	-12.903300285339355
daochi	道叱	1291	1291	501	-17.239099502563477
daochou	島紬	1285	1285	501	-18.380599975585938
daochu	導出	1283	1283	65	-11.73330020904541
daochu	道触	1285	1285	501	-18.380599975585938
daochuan	島川	1290	1290	200	-12.704500198364258
daochuan	島船	1285	1285	501	-18.380599975585938
daochuan	稲川	1293	1293	344	-15.571000099182129
daochuan	稲船	1285	1285	501	-18.380599975585938
daochuan	道川	1290	1290	330	-16.83489990234375
daochuanchuner	稲川淳二	1289	1289	477	-12.463800430297852
daochuang	刀創	1285	1285	501	-18.28529930114746
daochuang	道床	1285	1285	284	-13.994799613952637
daochuanhui	稲川会	1288	1288	269	-13.32409954071045
daochuanshengcheng	稲川聖城	1289	1289	122	-19.927000045776367
daochun	道春	1291	1291	200	-13.48960018157959
daoci	刀疵	1285	1285	501	-18.380599975585938
daoci	悼辞	1285	1285	501	-17.12779998779297
daoci	道慈	1289	1289	501	-14.352700233459473
daocilang	稲次郎	1291	1291	501	-14.93649959564209
daocong	稲叢	1285	1285	501	-17.792800903320312
daocun	島村	1290	1290	344	-10.70479965209961
daocun	嶋村	1290	1290	330	-12.855199813842773
daocun	稲村	1290	1290	497	-11.331600189208984
daocun	稻村	1290	1290	501	-16.04640007019043
daocunbaoyue	島村抱月	1289	1289	323	-12.77079963684082
daocunjiajiang	島村佳江	1289	1289	122	-21.749000549316406
daocunyamei	稲村亜美	1289	1289	122	-15.779000282287598
daocunyou	嶋村侑	1289	1289	122	-18.690000534057617
daocuo	倒錯	1283	1283	287	-12.358099937438965
daocuo	盗撮	1288	1288	243	-11.24020004272461
daoda	到達	1283	1283	182	-8.975000381469727
daoda	道大	1291	1291	58	-12.690500259399414
daodadian	到達点	1283	1298	17	-12.534299850463867
daodafu	嶋大輔	1289	1289	122	-21.393999099731445
daodai	島袋	1290	1290	439	-12.38640022277832
daodai	嶋袋	1290	1290	501	-16.83489990234375
daodai	道代	1291	1291	370	-13.45110034942627
daodaiguangnian	島袋光年	1289	1289	122	-20.191999435424805
daodaikuanzi	島袋寛子	1289	1289	122	-13.833000183105469
daodaimeiyouli	島袋美由利	1289	1289	122	-15.626999855041504
daodaiyangjiang	島袋洋奨	1289	1289	122	-18.408000946044922
daodao	島島	1285	1285	501	-18.380599975585938
