# pinyin	word	lcid	rcid	mid	value
daoluyuanbiao	道路元標	1288	1288	81	-14.04800033569336
daoluyunsongcheliangfa	道路運送車両法	1288	1288	86	-13.140000343322754
daoluyunsongfa	道路運送法	1288	1288	86	-13.108200073242188
daoluzhengbei	道路整備	1288	1288	102	-12.062000274658203
daoluzhuangkuang	道路状況	1288	1288	501	-12.808899879455566
daoluzu	道路族	1288	1288	501	-13.976400375366211
daolve	盗掠	1283	1283	501	-17.569299697875977
daomai	稲麦	1285	1285	501	-18.380599975585938
daomalv	稲麻呂	1291	1291	501	-17.239099502563477
daoman	道満	1291	1291	3	-16.545900344848633
daomao	稲毛	1293	1293	231	-13.074199676513672
